Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
HP,pavilion,1.41,14.0,157.0,0,intel iris x,16,ddr4,512,win 10,intel,71990.0,i5,0
Acer,predator,2.6,16.0,142.0,0,nvidia geforce rtx 4050,16,ddr5,512,win 11,intel,105999.0,i7,6
Dell,inspiron,2.2,15.6,141.0,0,amd radeon 530,8,ddr4,512,win 10,intel,54999.0,i5,2
MSI,GV62,2.2,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,512,dos,intel,67990.0,i7,4
Dell,inspiron,1.8,15.6,141.0,0,amd radeon,4,ddr4,256,win 11,amd,42210.0,dual core,0
HP,15s,1.7,15.6,141.0,0,amd radeon,8,ddr4,256,win 10,amd,47990.0,ryzen 5,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel integrated graphics,8,ddr4,512,win 10,intel,44990.0,i5,0
Asus,vivobook,1.45,14.0,243.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,amd,89990.0,octa core,4
Asus,zenbook,1.25,14.0,157.0,0,intel uhd 620,8,ddr4,256,win 10,intel,45990.0,i5,0
Lenovo,ideapad,1.65,15.6,141.0,0,intel iris xe,8,ddr4,512,win 10,intel,81090.0,i5,0
Asus,vivobook,1.5,14.0,157.0,0,intel uhd,4,ddr4,512,win 10,intel,46990.0,i3,0
Acer,aspire,2.1,15.6,141.0,0,nvidia geforce mx130,8,ddr4,512,linux,intel,44890.0,i5,2
Dell,inspiron,2.62,15.6,141.0,0,nvidia geforce gtx 1050t,8,ddr4,512,win 10,intel,64990.0,i5,4
Dell,inspiron,2.5,15.6,100.0,0,amd radeon r5 m430,4,ddr4,256,win 10,intel,44182.0,i5,2
MSI,Modern,1.19,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,54990.0,i5,0
Lenovo,ideapad,2.2,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,66490.0,ryzen 5,4
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,50990.0,i5,0
Lenovo,ideapad,1.66,15.6,141.0,0,amd radeon,8,ddr4,512,win 11,amd,48440.0,ryzen 5,0
MSI,alpha,2.35,15.6,141.0,0,amd radeon rx 6600m,16,ddr4,1024,win 10,amd,114990.0,octa core,8
Asus,vivobook,1.6,14.0,157.0,0,intel iris xe,8,ddr4,256,win 11,intel,65999.0,i5,0
MSI,alpha,2.35,15.6,141.0,0,amd radeon rx 6600m,8,ddr4,512,win 11,amd,84990.0,octa core,8
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,27990.0,i3,0
MSI,modern,1.4,14.0,157.0,0,intel iris xe,16,ddr4,512,win 11,intel,40499.0,i5,0
Acer,predator,2.7,15.6,141.0,0,nvidia geforce gtx 1060,16,ddr4,128,win 10,intel,125990.0,i5,6
HP,pavilion,1.14,14.0,157.0,0,intel iris xe,8,ddr4,512,win 10,intel,59860.0,i5,0
HP,15,1.86,15.6,100.0,0,amd radeon r2,4,ddr3,256,win 10,amd,24955.0,dual core,0
HP,victus,2.46,16.1,137.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,62112.0,ryzen 5,4
HP,pavilion,2.23,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,intel,68200.0,i5,4
Lenovo,ideapad,2.2,15.6,141.0,0,nvidia geforce gtx 1650 ti,8,ddr4,256,win 10,intel,82990.0,i7,4
Lenovo,ideapad,2.25,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,intel,48411.0,i5,4
Lenovo,ideapad,1.85,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,38990.0,quad core,0
MSI,gf63,1.86,15.6,141.0,0,nvidia geforce gtx 1650 max q,8,ddr4,512,win 10,intel,71490.0,i7,4
Lenovo,legion,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,intel,62490.0,i5,4
Acer,swift,0.97,14.0,157.0,0,intel uhd 620,8,ddr4,512,win 10,intel,84990.0,i7,0
HP,chromebook,1.46,14.0,157.0,0,intel uhd graphics,4,lpddr4,256,chorme os,intel,20590.0,celeron,0
Acer,aspire,1.9,15.6,141.0,0,amd radeon,8,ddr4,256,win 11,amd,26999.0,dual core,0
HP,15q,1.86,15.6,100.0,0,amd radeon 520,8,ddr4,512,dos,intel,42990.0,i5,2
Dell,inspiron,1.83,15.6,141.0,0,amd radeon vega,8,ddr4,256,win 10,amd,40190.0,dual core,0
Avita,satus,1.3,14.1,156.0,0,intel integrated,4,lpddr4,128,win 11,intel,18990.0,celeron,0
HP,pavilion,1.5,14.0,157.0,0,intel uhd,8,ddr4,512,win 11,intel,49990.0,i3,0
HP,15q,1.86,15.6,100.0,0,amd radeon 520,8,ddr4,512,win 10,intel,50790.0,i5,2
Asus,vivobook,1.8,16.0,142.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,66990.0,i5,4
Acer,nitro,2.6,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,512,win 11,intel,77425.0,i5,4
Avita,satus,1.3,14.1,156.0,0,intel uhd 600,4,lpddr4,128,win 11,intel,17490.0,celeron,0
HP,15s,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,32800.0,i3,0
realme,Book,1.37,14.0,185.0,0,intel iris xe,16,ddr4,512,win 11,intel,64990.0,i5,0
Acer,aspire,2.2,15.6,100.0,0,nvidia geforce mx 150,8,ddr4,512,win 10,intel,50279.0,i5,2
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,42990.0,i5,0
MSI,GF63,1.86,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 10,intel,72990.0,i7,4
Acer,nitro,2.5,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,70990.0,i5,4
Asus,vivobook,1.8,15.6,141.0,0,intel iris xe,8,ddr4,512,win 10,intel,51990.0,i5,0
Lenovo,ideapad,1.6,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,32990.0,i3,0
Lenovo,flex,1.65,14.0,157.0,0,amd radeon uhd,8,ddr4,512,win 10,amd,58990.0,ryzen 5,0
HP,pavilion,1.75,15.6,141.0,0,amd radeon,8,ddr4,512,win 11,amd,41989.0,ryzen 5,0
HP,pavilion,1.98,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,amd,67999.0,ryzen 7,4
Asus,tuf,2.3,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,1024,win 10,intel,57999.0,i5,4
Apple,macbook,1.24,13.6,225.0,0,no graphics,8,unified memory,256,mac os,apple,104990.0,m3,0
Lenovo,ideapad,1.8,15.6,100.0,0,intel uhd,8,ddr4,512,win 10,intel,39999.0,i5,0
MSI,Alpha,2.33,15.6,141.0,0,amd radeon rx 5500m,16,ddr4,256,win 10,amd,69990.0,quad core,4
Asus,vivobook,1.5,14.0,157.0,1,intel uhd,4,ddr4,512,win 10,intel,46990.0,i3,0
MSI,GF65,1.86,15.6,141.0,0,nvidia geforce rtx 3060,16,ddr4,512,win 10,intel,89990.0,i5,6
Lenovo,ideapad,1.3,15.6,100.0,0,amd radeon r4,4,ddr4,256,dos,amd,18990.0,dual core,0
Lenovo,ideapad,2.2,14.0,112.0,0,intel hd 620,4,ddr4,256,win 10,intel,38000.0,i3,0
Acer,predator,1.7,15.6,141.0,0,nvidia geforce gtx 1650 ti,8,ddr4,512,win 10,intel,74990.0,i5,4
Infinix,INBook,1.24,14.0,157.0,0,intel uhd,16,lpddr4x,512,win 11,intel,39999.0,i5,128
Asus,X509JB,1.9,15.6,141.0,0,nvidia geforce mx110,8,ddr4,512,win 10,intel,51990.0,i5,2
Acer,aspire,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,29200.0,i3,0
Asus,UX331UAL,0.98,13.3,166.0,0,intel uhd 620,8,lpddr3,256,win 10,intel,66490.0,i5,0
Samsung,galaxy,1.57,15.6,141.0,0,intel iris xe,16,lpddr4x,512,win 11,intel,62990.0,i7,0
Asus,X509JA,1.9,15.6,141.0,0,intel uhd,4,ddr4,256,win 10,intel,30576.0,i3,0
HP,15q,1.77,15.6,100.0,0,amd radeon r2,4,ddr4,256,win 10,amd,21999.0,dual core,0
HP,pavilion,1.6,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,53990.0,i5,0
MSI,GV62VR,2.2,15.6,141.0,0,nvidia geforce gtx 1060,16,ddr4,128,win 10,intel,119990.0,i7,6
HP,pavilion,1.75,15.6,141.0,0,amd radeon,8,ddr4,512,win 10,amd,46499.0,ryzen 5,0
Asus,tuf,2.6,17.3,127.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,64490.0,ryzen 5,4
Lenovo,ideapad,1.63,15.6,141.0,0,intel uhd,8,ddr4,256,win 11,intel,33499.0,i3,0
Lenovo,ideapad,1.85,15.6,100.0,0,nvidia geforce mx110,8,ddr4,512,dos,intel,39990.0,i5,2
Dell,inspiron,1.85,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,44260.0,i3,0
HP,15,2.19,15.6,100.0,0,amd radeon r5 m430,4,ddr3,256,dos,amd,28990.0,quad core,2
Acer,extensa,1.7,15.6,141.0,0,intel uhd,8,lpddr5,256,win 11,intel,32990.0,i3,0
Dell,inspiron,1.56,14.0,157.0,1,intel uhd,8,ddr4,256,win 10,intel,50733.0,i3,0
Asus,tuf,2.0,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr5,512,win 11,intel,90990.0,i5,4
Dell,inspiron,1.75,15.6,141.0,0,intel integrated,8,ddr4,256,win 11,intel,40300.0,i3,0
Asus,rog,2.2,15.6,141.0,0,nvidia geforce gtx 1660 ti,16,ddr4,512,win 10,amd,74990.0,quad core,6
Lenovo,ideapad,1.41,14.0,157.0,0,intel integrated uhd,8,ddr4,512,win 11,intel,38990.0,i3,0
Lenovo,ideapad,1.5,14.0,157.0,1,intel uhd,8,ddr4,512,win 10,intel,50990.0,i3,0
MSI,GL62M,2.2,15.6,141.0,0,nvidia geforce gtx 1050 ti,8,ddr4,128,win 10,intel,96490.0,i7,4
Asus,rog,2.1,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,1024,win 11,amd,78190.0,octa core,4
HP,envy,1.32,13.3,166.0,1,amd radeon,8,ddr4,512,win 10,amd,87990.0,ryzen 5,0
Asus,rog,2.1,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr5,512,win 11,amd,78999.0,octa core,4
Acer,aspire,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,31990.0,i3,0
Lenovo,ideapad,1.41,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,48134.0,i3,0
Lenovo,legion,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,amd,69789.0,ryzen 5,4
HP,15s,1.77,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,42990.0,i3,0
MSI,gf63,1.86,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,512,win 10,intel,59789.0,i5,4
HP,pavilion,1.58,14.0,157.0,1,intel uhd,8,ddr4,512,win 10,intel,74990.0,i7,0
Lenovo,legion,2.2,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,amd,66990.0,ryzen 5,4
Asus,rog,2.4,15.6,141.0,0,nvidia geforce gtx 1650,16,ddr4,512,win 10,intel,77990.0,i7,4
Acer,swift,2.1,15.6,141.0,0,nvidia geforce mx150,8,ddr4,128,win 10,intel,59990.0,i5,2
Asus,vivobook,1.4,14.0,157.0,0,intel uhd,8,ddr4,512,win 11,intel,35990.0,i3,0
HP,pavilion,1.41,14.0,157.0,0,amd radeon,16,ddr4,512,win 11,amd,61990.0,ryzen 5,0
Asus,tuf,2.3,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,1024,win 10,intel,96490.0,i7,4
Acer,aspire,2.1,15.6,141.0,0,nvidia geforce mx130,8,ddr4,512,win 10,intel,40990.0,i5,2
MSI,gf63,1.86,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,64671.0,i5,4
Asus,tuf,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,amd,56990.0,ryzen 5,4
Lenovo,ideapad,1.2,11.6,135.0,0,intel uhd,4,ddr4,256,win 10,intel,23999.0,celeron,0
Asus,vivobook,1.3,14.0,157.0,0,intel uhd 620,8,ddr4,512,win 10,intel,53990.0,i3,0
Asus,vivobook,1.3,14.0,157.0,0,intel uhd 620,8,ddr4,256,win 10,intel,44990.0,i3,0
HP,15s,1.85,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,37674.0,quad core,0
Acer,aspire,1.78,15.6,141.0,0,amd radeon,8,lpddr5,256,win 11,amd,40849.0,quad core,0
Acer,swift,1.8,15.6,141.0,0,nvidia geforce mx150,8,ddr4,128,win 10,intel,64990.0,i5,2
Lenovo,ideapad,2.25,15.6,141.0,0,nvidia geforce rtx 2050,8,ddr4,512,win 11,amd,49990.0,quad core,4
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd 620,4,ddr4,256,dos,intel,34190.0,i3,0
Acer,aspire,2.2,15.6,141.0,0,amd radeon vega 8,4,ddr4,256,win 10,amd,35534.0,quad core,0
Asus,vivobook,1.8,15.6,141.0,1,intel uhd,8,ddr4,512,win 11,intel,57940.0,i3,0
Lenovo,ideapad,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,31990.0,i3,0
HP,14s,1.46,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,57458.0,i5,0
HP,247,1.5,14.0,112.0,0,intel integrated,8,ddr4,512,win 11,amd,23999.0,dual core,0
Apple,macbook,1.4,13.0,232.0,0,intel iris plus,16,lpddr4x,1024,mac os,intel,194900.0,i5,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd 620,8,ddr4,256,win 10,intel,44990.0,i5,0
MSI,Modern,1.3,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,47490.0,i3,0
Lenovo,ideapad,1.69,14.0,157.0,0,nvidia geforce mx230,8,ddr4,512,win 10,intel,54990.0,i5,2
Asus,tuf,2.6,17.3,127.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,64990.0,ryzen 5,4
Acer,predator,2.3,15.6,188.0,0,nvidia geforce rtx 3060,16,ddr4,512,win 10,intel,117990.0,i7,4
Acer,predator,2.3,15.6,188.0,0,nvidia geforce rtx 3050 ti,16,ddr4,512,win 10,intel,99990.0,i7,4
Lenovo,ideapad,2.25,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 11,amd,47990.0,ryzen 5,4
HP,15s,1.69,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,33890.0,i3,0
Lenovo,ideapad,1.6,14.0,112.0,0,intel uhd,4,ddr4,256,win 10,intel,33990.0,i3,0
MSI,gf63,1.8,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,512,win 11,intel,56130.0,i5,4
HP,15q,1.86,15.6,141.0,0,intel hd 620,4,ddr4,256,win 10,intel,35616.0,i3,0
HP,compaq,2.2,15.6,100.0,0,nvidia geforce 820m,4,ddr3,256,dos,intel,30990.0,i3,2
HP,15s,1.69,15.6,141.0,0,intel iris xe,16,ddr4,512,win 11,intel,48740.0,i5,0
Dell,vostro,1.7,14.0,157.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,49658.0,quad core,0
Asus,vivobook,2.0,15.6,100.0,0,intel hd 620,4,ddr3,256,win 10,amd,19990.0,dual core,0
Lenovo,ideapad,1.7,15.6,100.0,0,intel uhd 600,8,ddr4,256,win 11,intel,26980.0,celeron,0
Dell,vostro,1.59,14.0,112.0,0,amd radeon,4,ddr4,256,win 10,amd,28890.0,dual core,0
HP,15,1.77,15.6,141.0,0,amd radeon vega 6,4,ddr4,256,win 10,amd,27990.0,ryzen 3,0
Asus,vivobook,2.2,15.6,141.0,0,nvidia geforce 940mx,8,ddr4,512,win 10,intel,45990.0,i5,2
HP,pavilion,1.41,14.0,157.0,0,intel iris x,8,ddr4,512,win 11,intel,58615.0,i5,0
Asus,vivobook,1.5,14.0,162.0,1,amd radeon,8,ddr4,512,win 11,amd,44999.0,ryzen 5,0
Acer,extensa,1.75,15.6,141.0,0,intel uhd,8,ddr4,256,win 11,intel,25999.0,i3,0
HP,15s,1.69,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,42990.0,quad core,0
Apple,macbook,1.4,13.3,227.0,0,no graphics,8,ddr4,512,mac os,apple,135990.0,m1,0
Asus,zenbook,1.11,13.3,166.0,0,intel iris xe,16,lpddr4x,1024,win 10,intel,99990.0,i7,0
Lenovo,ideapad,2.25,15.6,141.0,0,nvidia geforce rtx 2050,8,ddr4,512,win 11,intel,49990.0,i5,4
HP,pavilion,1.5,14.0,157.0,1,intel iris x,16,ddr4,512,win 10,intel,51000.0,i5,0
Dell,vostro,1.48,14.0,157.0,0,intel integrated,8,ddr4,256,win 11,intel,33490.0,i3,0
Acer,extensa,1.9,15.6,100.0,0,intel uhd 605,4,ddr4,256,win 10,intel,20999.0,pentium,0
Honor,magicbook,1.4,14.0,162.0,0,intel uhd,16,lpddr4x,512,win 11,intel,51990.0,i5,0
Honor,magicbook,1.4,14.0,162.0,0,intel uhd,8,lpddr4x,512,win 11,intel,48990.0,i5,0
Asus,zenbook,1.11,13.3,166.0,0,intel iris xe,8,lpddr4x,512,win 10,intel,69990.0,i5,0
Infinix,Zero,1.8,15.6,141.0,0,intel iris xe,32,lpddr5x,1024,win 11,intel,71990.0,i9,0
Acer,aspire,2.1,15.6,141.0,0,nvidia geforce gtx 1650,16,ddr4,512,win 11,intel,55990.0,i5,4
HP,pavilion,1.98,15.6,141.0,0,nvidia geforce gtx 3050,8,ddr4,512,win 11,amd,62990.0,ryzen 5,4
Acer,aspire,2.1,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,intel,74999.0,i5,4
HP,14s,1.47,14.0,157.0,0,intel iris x,8,ddr4,512,win 10,intel,57890.0,i5,0
Lenovo,ideapad,2.4,15.6,100.0,0,nvidia geforce 940mx,8,ddr4,512,win 10,intel,58790.0,i5,4
Lenovo,ideapad,2.2,15.6,100.0,0,nvidia geforce 940mx,8,ddr4,512,win 10,intel,49999.0,i5,2
Lenovo,ideapad,2.2,15.6,100.0,0,nvidia geforce 940mx,8,ddr4,512,dos,intel,56690.0,i5,4
HP,14q,1.47,14.0,112.0,0,intel hd 620,4,ddr4,256,win 10,intel,27999.0,i3,0
Asus,vivobook,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,42990.0,i3,0
Dell,inspiron,2.22,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,45990.0,ryzen 5,0
HP,15s,1.69,15.6,141.0,0,intel iris xe,8,ddr4,512,win 11,intel,46400.0,i5,0
Dell,inspiron,2.2,15.6,141.0,0,intel hd 620,4,ddr4,256,win 10,intel,34610.0,i3,0
Dell,inspiron,1.72,14.0,157.0,0,intel uhd,4,ddr4,256,win 10,intel,48250.0,i3,0
Asus,vivobook,1.8,15.6,141.0,0,amd radeon,8,ddr4,512,win 11,amd,31339.0,dual core,0
Acer,aspire,2.2,15.6,100.0,0,nvidia geforce mx150,8,ddr4,512,linux,intel,45999.0,i5,2
Dell,vostro,1.58,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,41327.0,i3,0
Acer,swift,1.25,14.0,210.0,0,intel iris xe,8,ddr4,512,win 11,intel,61999.0,i5,0
Acer,swift,1.25,14.0,210.0,0,intel iris xe,8,lpddr4x,512,win 11,intel,60890.0,i5,0
Lenovo,ideapad,2.32,15.6,141.0,0,nvidia geforce rtx 2050,16,ddr5,512,win 11,amd,57990.0,ryzen 5,4
HP,15s,1.75,15.6,141.0,0,nvidia geforce mx350,8,ddr4,512,win 10,intel,66490.0,i5,2
MSI,GF63,1.86,15.6,141.0,0,nvidia geforce gtx 1650 ti with max-q,8,ddr4,512,win 10,intel,83990.0,i7,4
Honor,magicbook,1.38,14.0,157.0,0,intel integrated,8,ddr4,512,win 11,intel,41990.0,i5,0
HP,15s,1.65,15.6,100.0,0,intel uhd,8,ddr4,512,win 11,intel,25999.0,celeron,0
Lenovo,ideapad,2.2,15.6,100.0,0,amd radeon r2,4,ddr4,256,dos,amd,18890.0,dual core,0
Apple,macbook,1.25,13.3,227.0,0,intel uhd 617,8,lpddr3,256,mac os,intel,104990.0,i5,0
Acer,aspire,2.1,15.6,100.0,0,intel hd 610,4,ddr4,256,win 10,intel,26749.0,pentium,0
Asus,vivobook,1.4,14.0,157.0,0,intel uhd 620,8,ddr4,256,win 10,intel,54990.0,i3,0
Asus,vivobook,1.4,14.0,157.0,0,intel uhd 620,8,ddr4,256,win 10,intel,44990.0,i3,0
Lenovo,ideapad,1.5,14.0,157.0,1,intel uhd,8,ddr4,512,win 11,intel,56459.0,i3,0
MSI,GF75,2.2,17.3,127.0,0,nvidia geforce gtx 1650,16,ddr4,256,win 10,intel,74990.0,i7,4
Apple,macbook,1.38,13.3,227.0,0,apple m2,8,lpddr5,256,mac os,apple,120990.0,m2,0
Lenovo,ideapad,2.2,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,65990.0,i5,4
Dell,inspiron,1.6,14.0,157.0,0,nvidia geforce gtx 940mx,8,ddr4,512,win 10,intel,63990.0,i5,2
Dell,inspiron,1.83,15.6,141.0,0,intel iris xe,8,ddr4,256,win 10,intel,60414.0,i5,0
Dell,vostro,1.48,14.0,157.0,0,intel integrated,8,ddr4,512,win 11,intel,41490.0,i3,0
HP,14s,1.46,14.0,157.0,0,amd radeon,16,ddr4,512,win 11,amd,55565.0,octa core,0
HP,15s,1.7,15.6,141.0,0,amd radeon,8,ddr4,256,win 10,amd,33999.0,quad core,0
HP,14,1.54,14.0,112.0,0,amd radeon r3,4,ddr4,256,win 10,amd,22409.0,dual core,0
HP,victus,2.48,16.1,137.0,0,nvidia geforce rtx 3050 ti,8,ddr4,512,win 11,amd,72990.0,ryzen 5,4
Lenovo,ideapad,1.41,14.0,157.0,0,intel uhd,8,ddr4,512,win 11,intel,40990.0,i3,0
Dell,inspiron,2.36,15.6,141.0,0,intel hd 520,4,ddr4,256,win 10,intel,37800.0,i3,0
Apple,macbook,1.25,13.3,227.0,0,intel uhd 617,8,lpddr3,256,mac os,intel,107990.0,i5,0
Asus,vivobook,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,32990.0,i3,0
Asus,vivobook,1.68,15.6,141.0,0,amd radeon vega 8,8,ddr4,256,win 10,amd,47990.0,quad core,0
Dell,inspiron,1.9,14.0,112.0,0,amd radeon hd r7 m265,4,ddr3,256,other,intel,48300.0,i5,2
Asus,zenbook,1.4,14.0,243.0,1,intel iris xe,16,lpddr5,512,win 11,intel,71999.0,i5,0
HP,15,1.7,15.6,100.0,1,intel uhd,8,ddr4,512,win 10,intel,101065.0,i5,0
Asus,zenbook,1.39,14.0,243.0,0,intel iris xe,16,lpddr5,512,win 11,intel,74990.0,i5,0
HP,pavilion,2.3,15.6,100.0,0,amd radeon hd 7620g,8,ddr3,512,other,amd,46490.0,quad core,2
HP,pavilion,2.3,15.6,100.0,0,nvidia geforce gt 740m,4,ddr3,256,other,intel,39994.0,i5,2
Samsung,galaxy,1.55,15.6,141.0,0,intel integrated,8,lpddr4x,512,win 11,intel,67990.0,core 5,0
HP,pavilion,2.25,15.6,100.0,0,amd radeon r2,4,ddr3,256,dos,amd,19499.0,dual core,0
HP,pavilion,1.41,14.0,157.0,0,intel iris xe,8,ddr4,512,win 11,intel,77900.0,i5,0
HP,pavilion,2.4,15.6,100.0,0,intel hd 4400,4,ddr3,256,other,intel,38990.0,i3,0
HP,15,2.1,15.6,100.0,0,amd radeon r5 m330,4,ddr3,256,win 10,intel,37500.0,i3,2
HP,15,2.19,15.6,100.0,0,intel hd,4,ddr3,256,win 10,intel,25299.0,pentium,0
HP,pavilion,2.3,15.6,100.0,0,nvidia geforce gt 740m,4,ddr3,256,other,intel,49490.0,i5,2
Asus,vivobook,1.8,16.0,142.0,0,nvidia geforce rtx 2050,8,ddr4,512,win 11,intel,57990.0,i5,4
HP,pavilion,1.12,10.1,149.0,1,intel hd,2,ddr3,512,win 10,intel,29999.0,quad core,0
HP,15,2.19,15.6,100.0,0,amd radeon r5 m430,4,ddr4,256,dos,intel,32190.0,i3,2
Asus,rog,2.3,15.6,141.0,0,nvidia geforce rtx 3080,16,ddr4,1024,win 11,amd,277367.0,octa core,8
HP,pavilion,2.3,15.6,100.0,0,nvidia geforce gt 740m,4,ddr3,256,other,intel,48999.0,i5,2
Lenovo,V145,2.4,15.6,100.0,0,amd radeon r3,4,ddr4,256,dos,amd,19291.0,dual core,0
HP,pavilion,2.4,15.6,100.0,0,intel hd 4400,4,ddr3,256,other,intel,41890.0,i3,2
Acer,predator,2.6,16.0,189.0,0,nvidia geforce rtx 4060,16,ddr5,1024,win 11,intel,129990.0,i7,8
Asus,vivobook,1.88,16.0,142.0,0,amd radeon,16,ddr4,1024,win 11,amd,51990.0,ryzen 5,0
HP,13,1.47,13.3,166.0,1,intel uhd 615,8,ddr4,256,win 10,intel,151818.0,i7,0
HP,15,2.1,15.6,141.0,0,intel hd 5500,4,ddr3,256,win 10,intel,26297.0,i3,0
Asus,x,2.3,15.6,100.0,0,nvidia geforce gt 720m,4,ddr3,256,dos,intel,29550.0,i3,2
HP,17,2.46,17.3,106.0,1,intel uhd 620,8,ddr4,256,win 10,intel,113948.0,i5,0
Dell,inspiron,1.63,15.6,141.0,0,amd radeon,8,lpddr5,512,win 11,amd,29990.0,quad core,0
Asus,x,2.3,15.6,100.0,0,nvidia geforce gt 820m,4,ddr3,256,dos,intel,38750.0,i5,2
Lenovo,ideapad,1.85,15.6,141.0,0,amd radeon vega 3,8,ddr4,256,win 10,amd,28490.0,dual core,0
HP,envy,2.4,15.6,100.0,0,nvidia geforce gtx 850m,8,ddr3,512,other,intel,72990.0,i7,4
Asus,zenbook,1.45,14.0,157.0,0,intel uhd 620,8,lpddr3,256,win 10,intel,164170.0,i5,0
Lenovo,ideapad,2.32,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr5,512,win 11,amd,66250.0,ryzen 5,6
HP,15,2.19,15.6,100.0,0,amd radeon r5 m430,4,ddr4,256,win 10,intel,33627.0,i3,2
HP,envy,2.5,15.6,141.0,1,nvidia geforce gt 740m,8,ddr3,512,other,intel,82990.0,i7,2
HP,pavilion,2.3,15.6,100.0,0,amd radeon hd 8670m,4,ddr3,256,other,intel,38990.0,i3,2
HP,pavilion,2.3,15.6,100.0,0,amd radeon hd 8670m,4,ddr3,256,other,intel,45990.0,i5,1
Acer,swift,1.5,14.0,112.0,0,intel hd 520,4,ddr4,128,linux,intel,36999.0,i3,0
HP,pavilion,2.2,15.6,100.0,0,intel hd 5500,4,ddr3,256,dos,intel,39890.0,i5,0
HP,pavilion,1.7,13.3,118.0,0,intel hd 4400,4,ddr3,256,other,intel,45890.0,i5,0
Samsung,galaxy,1.23,14.0,243.0,1,intel arc,16,lpddr5x,512,win 11,intel,151789.0,ultra 5,0
MSI,gf63,1.8,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 11,intel,53990.0,i5,4
Asus,rog,2.57,15.6,141.0,0,nvidia geforce gtx 1660 ti,16,ddr4,256,win 10,intel,139990.0,i7,6
