Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
Dell,vostro,1.48,14.0,157.0,0,intel integrated,8,ddr4,512,win 11,intel,35990.0,i3,0
Dell,inspiron,1.53,14.0,162.0,0,intel iris xe,16,lpddr5,1024,win 11,intel,70190.0,i5,0
Dell,vostro,1.66,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,35990.0,i3,0
Asus,chromebook,1.8,15.6,141.0,0,intel uhd,8,lpddr4x,512,chorme os,intel,18990.0,celeron,0
Dell,vostro,1.66,15.6,141.0,0,intel iris xe,16,ddr4,512,win 11,intel,50989.0,i5,0
Acer,aspire,1.59,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,32990.0,i3,0
Dell,inspiron,2.3,15.6,100.0,0,amd radeon r7 m445,8,ddr4,512,win 10,intel,59000.0,i5,2
HP,pavilion,2.28,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,intel,76390.0,i5,4
MSI,cyborg,1.98,15.6,141.0,0,nvidia geforce rtx 4050,16,ddr5,512,win 11,intel,89990.0,i7,6
HP,envy,1.7,15.6,141.0,1,intel iris xe,16,ddr4,1024,win 11,intel,127107.0,i7,0
HP,15q,1.86,15.6,100.0,0,intel hd 520,4,ddr4,256,win 10,intel,28990.0,i3,0
Asus,M409DA,1.6,14.0,157.0,1,amd radeon r3,4,ddr4,256,win 10,amd,30184.0,dual core,0
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,34225.0,i3,0
Acer,aspire,2.15,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,amd,45990.0,ryzen 5,4
Acer,aspire,2.15,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,72990.0,quad core,4
Acer,One,1.8,14.0,112.0,0,intel hd 610,4,ddr4,256,win 10,intel,23290.0,pentium,0
HP,15s,1.76,15.6,141.0,0,amd radeon vega 6,8,ddr4,512,win 10,amd,24831.0,dual core,0
Apple,macbook,1.35,13.3,128.0,0,intel hd 6000,8,lpddr3,128,mac os,intel,71990.0,i5,0
Asus,vivobook,1.9,15.6,141.0,0,intel hd 620,4,ddr4,256,win 10,intel,29404.0,i3,0
HP,14q,1.47,14.0,112.0,0,intel hd 620,8,ddr4,256,win 10,intel,33990.0,i3,0
Lenovo,ideapad,1.85,15.6,141.0,0,amd radeon vega 3,4,ddr4,256,win 10,amd,28990.0,dual core,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel hd 620,4,ddr4,256,win 10,intel,30980.0,i3,0
Lenovo,ideapad,1.6,15.6,141.0,0,intel iris xe,16,ddr4,512,win 11,intel,52999.0,i5,0
HP,15s,1.77,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,45990.0,i3,0
Acer,aspire,2.15,15.6,141.0,1,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,57990.0,quad core,4
HP,chromebook,1.08,11.6,135.0,1,mediatek integrated graphics,4,lpddr4,256,chorme os,mediatek,50587.0,octa core,0
HP,15q,1.91,15.6,100.0,0,intel uhd,8,ddr4,512,win 10,intel,38990.0,i3,0
